directed,source,target,type,year
True,author:w_m_yonezawa:1f1485cb,affiliation:centro_federal_de_educacao_tecnologica_do_parana:77765c99,Is_Linked_to,2004
True,author:h_ferasoli_filho:350081ea,affiliation:universidade_estadual_paulista:1b4f4989,Is_Linked_to,2004
True,author:h_ferasoli_filho:350081ea,affiliation:universidade_estadual_de_campinas:a6e8c501,Is_Linked_to,2004
True,author:h_ferasoli_filho:350081ea,affiliation:centro_federal_de_educacao_tecnologica_do_parana:77765c99,Is_Linked_to,2004
True,author:r_pegoraro:2c2b8557,affiliation:universidade_estadual_paulista:1b4f4989,Is_Linked_to,2004
True,author:r_pegoraro:2c2b8557,affiliation:universidade_estadual_de_campinas:a6e8c501,Is_Linked_to,2004
True,author:r_pegoraro:2c2b8557,affiliation:centro_federal_de_educacao_tecnologica_do_parana:77765c99,Is_Linked_to,2004
True,author:j_m_rosario:a67a88ed,affiliation:universidade_estadual_paulista:1b4f4989,Is_Linked_to,2004
True,author:j_m_rosario:a67a88ed,affiliation:universidade_estadual_de_campinas:a6e8c501,Is_Linked_to,2004
True,author:j_m_rosario:a67a88ed,affiliation:centro_federal_de_educacao_tecnologica_do_parana:77765c99,Is_Linked_to,2004
True,author:c_r_erig_lima:b6bf5e69,affiliation:universidade_estadual_paulista:1b4f4989,Is_Linked_to,2004
True,author:c_r_erig_lima:b6bf5e69,affiliation:universidade_estadual_de_campinas:a6e8c501,Is_Linked_to,2004
True,author:c_r_erig_lima:b6bf5e69,affiliation:centro_federal_de_educacao_tecnologica_do_parana:77765c99,Is_Linked_to,2004
False,author:w_m_yonezawa:1f1485cb,author:h_ferasoli_filho:350081ea,Collaborates,2004
False,author:w_m_yonezawa:1f1485cb,author:r_pegoraro:2c2b8557,Collaborates,2004
False,author:w_m_yonezawa:1f1485cb,author:j_m_rosario:a67a88ed,Collaborates,2004
False,author:w_m_yonezawa:1f1485cb,author:c_r_erig_lima:b6bf5e69,Collaborates,2004
False,author:h_ferasoli_filho:350081ea,author:r_pegoraro:2c2b8557,Collaborates,2004
False,author:h_ferasoli_filho:350081ea,author:j_m_rosario:a67a88ed,Collaborates,2004
False,author:h_ferasoli_filho:350081ea,author:c_r_erig_lima:b6bf5e69,Collaborates,2004
False,author:r_pegoraro:2c2b8557,author:j_m_rosario:a67a88ed,Collaborates,2004
False,author:r_pegoraro:2c2b8557,author:c_r_erig_lima:b6bf5e69,Collaborates,2004
False,author:j_m_rosario:a67a88ed,author:c_r_erig_lima:b6bf5e69,Collaborates,2004
False,affiliation:universidade_estadual_paulista:1b4f4989,affiliation:universidade_estadual_de_campinas:a6e8c501,Collaborates,2004
False,affiliation:universidade_estadual_paulista:1b4f4989,affiliation:centro_federal_de_educacao_tecnologica_do_parana:77765c99,Collaborates,2004
False,affiliation:universidade_estadual_de_campinas:a6e8c501,affiliation:centro_federal_de_educacao_tecnologica_do_parana:77765c99,Collaborates,2004
True,article:2004_1325,theme:pda_and_wireless_network_model_for_mobile_robots:bde69122,Was_Associated_To,2004
True,article:2004_1325,theme:reconfigurable_open_architecture_for_robot_control:38962072,Was_Associated_To,2004
True,article:2004_1325,theme:hierarchical_reconfigurable_blocks_ease_expansion_and_future_updates:ac558abe,Was_Associated_To,2004
True,author:w_m_yonezawa:1f1485cb,theme:pda_and_wireless_network_model_for_mobile_robots:bde69122,Has_Expertise_In,2004
True,author:w_m_yonezawa:1f1485cb,theme:reconfigurable_open_architecture_for_robot_control:38962072,Has_Expertise_In,2004
True,author:w_m_yonezawa:1f1485cb,theme:hierarchical_reconfigurable_blocks_ease_expansion_and_future_updates:ac558abe,Has_Expertise_In,2004
True,author:h_ferasoli_filho:350081ea,theme:pda_and_wireless_network_model_for_mobile_robots:bde69122,Has_Expertise_In,2004
True,author:h_ferasoli_filho:350081ea,theme:reconfigurable_open_architecture_for_robot_control:38962072,Has_Expertise_In,2004
True,author:h_ferasoli_filho:350081ea,theme:hierarchical_reconfigurable_blocks_ease_expansion_and_future_updates:ac558abe,Has_Expertise_In,2004
True,author:r_pegoraro:2c2b8557,theme:pda_and_wireless_network_model_for_mobile_robots:bde69122,Has_Expertise_In,2004
True,author:r_pegoraro:2c2b8557,theme:reconfigurable_open_architecture_for_robot_control:38962072,Has_Expertise_In,2004
True,author:r_pegoraro:2c2b8557,theme:hierarchical_reconfigurable_blocks_ease_expansion_and_future_updates:ac558abe,Has_Expertise_In,2004
True,author:j_m_rosario:a67a88ed,theme:pda_and_wireless_network_model_for_mobile_robots:bde69122,Has_Expertise_In,2004
True,author:j_m_rosario:a67a88ed,theme:reconfigurable_open_architecture_for_robot_control:38962072,Has_Expertise_In,2004
True,author:j_m_rosario:a67a88ed,theme:hierarchical_reconfigurable_blocks_ease_expansion_and_future_updates:ac558abe,Has_Expertise_In,2004
True,author:c_r_erig_lima:b6bf5e69,theme:pda_and_wireless_network_model_for_mobile_robots:bde69122,Has_Expertise_In,2004
True,author:c_r_erig_lima:b6bf5e69,theme:reconfigurable_open_architecture_for_robot_control:38962072,Has_Expertise_In,2004
True,author:c_r_erig_lima:b6bf5e69,theme:hierarchical_reconfigurable_blocks_ease_expansion_and_future_updates:ac558abe,Has_Expertise_In,2004
True,article:2004_1325,keyword:sistemas_embarcados:82c8991d,Contains,2004
True,article:2004_1325,keyword:sistemas_reconfiguraveis:f7a1d327,Contains,2004
True,article:2004_1325,keyword:dispositivos_pda:e0569689,Contains,2004
True,article:2004_1325,keyword:redes_sem_fio:c125a26e,Contains,2004
True,article:2004_1325,keyword:embedded_systems:5e5574db,Contains,2004
True,article:2004_1325,keyword:reconfigurable_systems:ed72bd79,Contains,2004
True,article:2004_1325,keyword:pda_devices:f0079436,Contains,2004
True,article:2004_1325,keyword:wireless_networks:53ecdd8b,Contains,2004
True,article:2004_211,year:2004,Was_Published_In,2004
True,author:jose_a_de_franca:4ea1c031,article:2004_211,Was_Author_of,2004
True,author:marcelo_r_stemmer:2744e5ae,article:2004_211,Was_Author_of,2004
True,author:jose_a_de_franca:4ea1c031,affiliation:departamento_de_engenharia_el_etrica:70e979be,Is_Linked_to,2004
True,author:jose_a_de_franca:4ea1c031,affiliation:universidade_estadual_de_londrina:88e1a84b,Is_Linked_to,2004
True,author:jose_a_de_franca:4ea1c031,affiliation:departamento_de_automa_c_ao_e_sistemas:59e05209,Is_Linked_to,2004
True,author:jose_a_de_franca:4ea1c031,affiliation:universidade_federal_de_santa_catarina:36d19a70,Is_Linked_to,2004
True,author:marcelo_r_stemmer:2744e5ae,affiliation:departamento_de_engenharia_el_etrica:70e979be,Is_Linked_to,2004
True,author:marcelo_r_stemmer:2744e5ae,affiliation:universidade_estadual_de_londrina:88e1a84b,Is_Linked_to,2004
True,author:marcelo_r_stemmer:2744e5ae,affiliation:departamento_de_automa_c_ao_e_sistemas:59e05209,Is_Linked_to,2004
True,author:marcelo_r_stemmer:2744e5ae,affiliation:universidade_federal_de_santa_catarina:36d19a70,Is_Linked_to,2004
False,author:jose_a_de_franca:4ea1c031,author:marcelo_r_stemmer:2744e5ae,Collaborates,2004
False,affiliation:departamento_de_engenharia_el_etrica:70e979be,affiliation:universidade_estadual_de_londrina:88e1a84b,Collaborates,2004
False,affiliation:departamento_de_engenharia_el_etrica:70e979be,affiliation:departamento_de_automa_c_ao_e_sistemas:59e05209,Collaborates,2004
False,affiliation:departamento_de_engenharia_el_etrica:70e979be,affiliation:universidade_federal_de_santa_catarina:36d19a70,Collaborates,2004
False,affiliation:universidade_estadual_de_londrina:88e1a84b,affiliation:departamento_de_automa_c_ao_e_sistemas:59e05209,Collaborates,2004
False,affiliation:universidade_estadual_de_londrina:88e1a84b,affiliation:universidade_federal_de_santa_catarina:36d19a70,Collaborates,2004
False,affiliation:departamento_de_automa_c_ao_e_sistemas:59e05209,affiliation:universidade_federal_de_santa_catarina:36d19a70,Collaborates,2004
True,article:2004_211,theme:virtual_parallax_nonlinear_algorithm:8a185e7b,Was_Associated_To,2004
True,article:2004_211,theme:fundamental_matrix_estimation_in_stereo_vision:4b1758b2,Was_Associated_To,2004
True,article:2004_211,theme:reduced_search_space_lowers_computational_cost:334b6fae,Was_Associated_To,2004
True,author:jose_a_de_franca:4ea1c031,theme:virtual_parallax_nonlinear_algorithm:8a185e7b,Has_Expertise_In,2004
True,author:jose_a_de_franca:4ea1c031,theme:fundamental_matrix_estimation_in_stereo_vision:4b1758b2,Has_Expertise_In,2004
True,author:jose_a_de_franca:4ea1c031,theme:reduced_search_space_lowers_computational_cost:334b6fae,Has_Expertise_In,2004
True,author:marcelo_r_stemmer:2744e5ae,theme:virtual_parallax_nonlinear_algorithm:8a185e7b,Has_Expertise_In,2004
True,author:marcelo_r_stemmer:2744e5ae,theme:fundamental_matrix_estimation_in_stereo_vision:4b1758b2,Has_Expertise_In,2004
True,author:marcelo_r_stemmer:2744e5ae,theme:reduced_search_space_lowers_computational_cost:334b6fae,Has_Expertise_In,2004
True,article:2004_211,keyword:epipolar_geometry:0b4809c8,Contains,2004
True,article:2004_211,keyword:stereovision:fd51df4c,Contains,2004
True,article:2004_211,keyword:fundamental_matrix:ecdd2ce7,Contains,2004
True,article:2004_211,keyword:virtual_parallax:6613d042,Contains,2004
True,article:2004_211,keyword:geometria_epipolar:94a68d64,Contains,2004
True,article:2004_211,keyword:vis_ao_est_ereo:2fa85a25,Contains,2004
True,article:2004_211,keyword:matriz_fundamental:dcf6d276,Contains,2004
True,article:2004_211,keyword:paralaxe_virtual:81bee041,Contains,2004
True,article:2004_212,year:2004,Was_Published_In,2004
True,author:oumar_dieng:ac76d7e9,article:2004_212,Was_Author_of,2004
True,author:amit_bhaya:b3f5ddac,article:2004_212,Was_Author_of,2004
True,author:oumar_dieng:ac76d7e9,affiliation:universidade_federal_do_rio_de_janeiro:14407b58,Is_Linked_to,2004
True,author:oumar_dieng:ac76d7e9,affiliation:coppe_programa_de_engenharia_el_etrica:bae96688,Is_Linked_to,2004
True,author:amit_bhaya:b3f5ddac,affiliation:universidade_federal_do_rio_de_janeiro:14407b58,Is_Linked_to,2004
True,author:amit_bhaya:b3f5ddac,affiliation:coppe_programa_de_engenharia_el_etrica:bae96688,Is_Linked_to,2004
False,author:oumar_dieng:ac76d7e9,author:amit_bhaya:b3f5ddac,Collaborates,2004
False,affiliation:universidade_federal_do_rio_de_janeiro:14407b58,affiliation:coppe_programa_de_engenharia_el_etrica:bae96688,Collaborates,2004
True,article:2004_212,theme:control_theory_design_of_linear_iterative_methods:d4e37071,Was_Associated_To,2004
True,article:2004_212,theme:control_lyapunov_function_for_iterative_methods:7bbefc76,Was_Associated_To,2004
True,article:2004_212,theme:feedback_control_viewpoint_transforms_iteration_tuning_into_signal_reg:c19ff53c,Was_Associated_To,2004
True,author:oumar_dieng:ac76d7e9,theme:control_theory_design_of_linear_iterative_methods:d4e37071,Has_Expertise_In,2004
True,author:oumar_dieng:ac76d7e9,theme:control_lyapunov_function_for_iterative_methods:7bbefc76,Has_Expertise_In,2004
True,author:oumar_dieng:ac76d7e9,theme:feedback_control_viewpoint_transforms_iteration_tuning_into_signal_reg:c19ff53c,Has_Expertise_In,2004
True,author:amit_bhaya:b3f5ddac,theme:control_theory_design_of_linear_iterative_methods:d4e37071,Has_Expertise_In,2004
True,author:amit_bhaya:b3f5ddac,theme:control_lyapunov_function_for_iterative_methods:7bbefc76,Has_Expertise_In,2004
True,author:amit_bhaya:b3f5ddac,theme:feedback_control_viewpoint_transforms_iteration_tuning_into_signal_reg:c19ff53c,Has_Expertise_In,2004
True,article:2004_212,keyword:fun_c_ao_de_liapunov:14c2e950,Contains,2004
True,article:2004_212,keyword:m_etodo_iterativo:f81fc658,Contains,2004
True,article:2004_212,keyword:estabilidade:85d65f6e,Contains,2004
True,article:2004_212,keyword:controlador_pid:1c6a1fd4,Contains,2004
True,article:2004_212,keyword:gradiente_conjugado:888c6440,Contains,2004
True,article:2004_212,keyword:convergencia:81f285ad,Contains,2004
True,article:2004_212,keyword:control_liapunov_function:0cc97f83,Contains,2004
True,article:2004_212,keyword:iterative_methods:6790094e,Contains,2004
True,article:2004_212,keyword:stability:e70647c6,Contains,2004
True,article:2004_212,keyword:pid_controller:df064fbc,Contains,2004
True,article:2004_212,keyword:conjugate_gradient_algorithm:e8c39a9a,Contains,2004
True,article:2004_212,keyword:convergence:98bf2e34,Contains,2004
True,article:2004_213,year:2004,Was_Published_In,2004
True,author:david_f_fabri:942a02cc,article:2004_213,Was_Author_of,2004
True,author:pedro_paulo_c_mendes:09746338,article:2004_213,Was_Author_of,2004
True,author:claudio_ferreira:92d8f217,article:2004_213,Was_Author_of,2004
True,author:fernando_b_prioste:1dd5dc8f,article:2004_213,Was_Author_of,2004
True,author:david_f_fabri:942a02cc,affiliation:universidade_federal_de_itajuba:5733525a,Is_Linked_to,2004
True,author:pedro_paulo_c_mendes:09746338,affiliation:universidade_federal_de_itajuba:5733525a,Is_Linked_to,2004
True,author:claudio_ferreira:92d8f217,affiliation:universidade_federal_de_itajuba:5733525a,Is_Linked_to,2004
True,author:fernando_b_prioste:1dd5dc8f,affiliation:universidade_federal_de_itajuba:5733525a,Is_Linked_to,2004
False,author:david_f_fabri:942a02cc,author:pedro_paulo_c_mendes:09746338,Collaborates,2004
False,author:david_f_fabri:942a02cc,author:claudio_ferreira:92d8f217,Collaborates,2004
False,author:david_f_fabri:942a02cc,author:fernando_b_prioste:1dd5dc8f,Collaborates,2004
False,author:pedro_paulo_c_mendes:09746338,author:claudio_ferreira:92d8f217,Collaborates,2004
False,author:pedro_paulo_c_mendes:09746338,author:fernando_b_prioste:1dd5dc8f,Collaborates,2004
False,author:claudio_ferreira:92d8f217,author:fernando_b_prioste:1dd5dc8f,Collaborates,2004
True,article:2004_213,theme:automatic_generation_control_in_a_competitive_scenario:109aad57,Was_Associated_To,2004
True,article:2004_213,theme:distribution_company_participation_matrix:e73dd46d,Was_Associated_To,2004
True,article:2004_213,theme:bilateral_contracts_require_modified_agc_dynamics:e84380b1,Was_Associated_To,2004
True,author:david_f_fabri:942a02cc,theme:automatic_generation_control_in_a_competitive_scenario:109aad57,Has_Expertise_In,2004
True,author:david_f_fabri:942a02cc,theme:distribution_company_participation_matrix:e73dd46d,Has_Expertise_In,2004
True,author:david_f_fabri:942a02cc,theme:bilateral_contracts_require_modified_agc_dynamics:e84380b1,Has_Expertise_In,2004
True,author:pedro_paulo_c_mendes:09746338,theme:automatic_generation_control_in_a_competitive_scenario:109aad57,Has_Expertise_In,2004
True,author:pedro_paulo_c_mendes:09746338,theme:distribution_company_participation_matrix:e73dd46d,Has_Expertise_In,2004
True,author:pedro_paulo_c_mendes:09746338,theme:bilateral_contracts_require_modified_agc_dynamics:e84380b1,Has_Expertise_In,2004
True,author:claudio_ferreira:92d8f217,theme:automatic_generation_control_in_a_competitive_scenario:109aad57,Has_Expertise_In,2004
True,author:claudio_ferreira:92d8f217,theme:distribution_company_participation_matrix:e73dd46d,Has_Expertise_In,2004
True,author:claudio_ferreira:92d8f217,theme:bilateral_contracts_require_modified_agc_dynamics:e84380b1,Has_Expertise_In,2004
True,author:fernando_b_prioste:1dd5dc8f,theme:automatic_generation_control_in_a_competitive_scenario:109aad57,Has_Expertise_In,2004
True,author:fernando_b_prioste:1dd5dc8f,theme:distribution_company_participation_matrix:e73dd46d,Has_Expertise_In,2004
True,author:fernando_b_prioste:1dd5dc8f,theme:bilateral_contracts_require_modified_agc_dynamics:e84380b1,Has_Expertise_In,2004
True,article:2004_213,keyword:agc:da8165f1,Contains,2004
True,article:2004_213,keyword:automatic_generation_control:6ee14816,Contains,2004
True,article:2004_213,keyword:deregulation:ed38067e,Contains,2004
True,article:2004_213,keyword:bilateral_contracts:3a464b01,Contains,2004
True,article:2004_213,keyword:secondary_control:62b049f0,Contains,2004
True,article:2004_213,keyword:contract_violation:53439dfc,Contains,2004
True,article:2004_213,keyword:cag:40ea68f2,Contains,2004
True,article:2004_213,keyword:controle_automatico_de_geracao:535262a3,Contains,2004
True,article:2004_213,keyword:desregulamentacao:3810200f,Contains,2004
True,article:2004_213,keyword:contratos_bilaterais:695ce3e9,Contains,2004
True,article:2004_213,keyword:controle_secundario:8bab293f,Contains,2004
True,article:2004_213,keyword:violacao_de_contratos:8f1466c6,Contains,2004
