directed,source,target,type,year
True,author:paulo_c_a_leao:2ec751f6,affiliation:faculdade_de_engenharia_eletrica:6a6dc5c6,Is_Linked_to,2002
True,author:paulo_c_a_leao:2ec751f6,affiliation:universidade_federal_de_uberlandia:b49dd3bf,Is_Linked_to,2002
True,author:jose_c_de_oliveira:11cd13bf,affiliation:departamento_de_engenharia_eletrica:6f088dae,Is_Linked_to,2002
True,author:jose_c_de_oliveira:11cd13bf,affiliation:universidade_federal_de_sao_joao_del_rei:f246acb3,Is_Linked_to,2002
True,author:jose_c_de_oliveira:11cd13bf,affiliation:faculdade_de_engenharia_eletrica:6a6dc5c6,Is_Linked_to,2002
True,author:jose_c_de_oliveira:11cd13bf,affiliation:universidade_federal_de_uberlandia:b49dd3bf,Is_Linked_to,2002
True,author:fernando_n_belchior:dd87bc72,affiliation:departamento_de_engenharia_eletrica:6f088dae,Is_Linked_to,2002
True,author:fernando_n_belchior:dd87bc72,affiliation:universidade_federal_de_sao_joao_del_rei:f246acb3,Is_Linked_to,2002
True,author:fernando_n_belchior:dd87bc72,affiliation:faculdade_de_engenharia_eletrica:6a6dc5c6,Is_Linked_to,2002
True,author:fernando_n_belchior:dd87bc72,affiliation:universidade_federal_de_uberlandia:b49dd3bf,Is_Linked_to,2002
False,author:paulo_c_a_leao:2ec751f6,author:jose_c_de_oliveira:11cd13bf,Collaborates,2002
False,author:paulo_c_a_leao:2ec751f6,author:fernando_n_belchior:dd87bc72,Collaborates,2002
False,author:jose_c_de_oliveira:11cd13bf,author:fernando_n_belchior:dd87bc72,Collaborates,2002
False,affiliation:departamento_de_engenharia_eletrica:6f088dae,affiliation:universidade_federal_de_sao_joao_del_rei:f246acb3,Collaborates,2002
False,affiliation:departamento_de_engenharia_eletrica:6f088dae,affiliation:faculdade_de_engenharia_eletrica:6a6dc5c6,Collaborates,2002
False,affiliation:departamento_de_engenharia_eletrica:6f088dae,affiliation:universidade_federal_de_uberlandia:b49dd3bf,Collaborates,2002
False,affiliation:universidade_federal_de_sao_joao_del_rei:f246acb3,affiliation:faculdade_de_engenharia_eletrica:6a6dc5c6,Collaborates,2002
False,affiliation:universidade_federal_de_sao_joao_del_rei:f246acb3,affiliation:universidade_federal_de_uberlandia:b49dd3bf,Collaborates,2002
False,affiliation:faculdade_de_engenharia_eletrica:6a6dc5c6,affiliation:universidade_federal_de_uberlandia:b49dd3bf,Collaborates,2002
True,article:2002_874,theme:vsi_pwm_frequency_converter_performance_under_voltage_sag:7124803a,Was_Associated_To,2002
True,article:2002_874,theme:saber_simulation_and_laboratory_experiments:2d7455ea,Was_Associated_To,2002
True,article:2002_874,theme:need_to_quantify_equipment_supportability_under_power_quality_disturba:95707a21,Was_Associated_To,2002
True,author:paulo_c_a_leao:2ec751f6,theme:vsi_pwm_frequency_converter_performance_under_voltage_sag:7124803a,Has_Expertise_In,2002
True,author:paulo_c_a_leao:2ec751f6,theme:saber_simulation_and_laboratory_experiments:2d7455ea,Has_Expertise_In,2002
True,author:paulo_c_a_leao:2ec751f6,theme:need_to_quantify_equipment_supportability_under_power_quality_disturba:95707a21,Has_Expertise_In,2002
True,author:jose_c_de_oliveira:11cd13bf,theme:vsi_pwm_frequency_converter_performance_under_voltage_sag:7124803a,Has_Expertise_In,2002
True,author:jose_c_de_oliveira:11cd13bf,theme:saber_simulation_and_laboratory_experiments:2d7455ea,Has_Expertise_In,2002
True,author:jose_c_de_oliveira:11cd13bf,theme:need_to_quantify_equipment_supportability_under_power_quality_disturba:95707a21,Has_Expertise_In,2002
True,author:fernando_n_belchior:dd87bc72,theme:vsi_pwm_frequency_converter_performance_under_voltage_sag:7124803a,Has_Expertise_In,2002
True,author:fernando_n_belchior:dd87bc72,theme:saber_simulation_and_laboratory_experiments:2d7455ea,Has_Expertise_In,2002
True,author:fernando_n_belchior:dd87bc72,theme:need_to_quantify_equipment_supportability_under_power_quality_disturba:95707a21,Has_Expertise_In,2002
True,article:2002_874,keyword:power_quality:95b28f44,Contains,2002
True,article:2002_874,keyword:frequency_converters:04efb6a9,Contains,2002
